iter	Passed	Remaining
0	144	144378
1	146	73192
2	148	49405
3	150	37512
4	152	30370
5	154	25621
6	157	22356
7	160	19867
8	162	17929
9	165	16356
10	167	15093
11	171	14129
12	174	13235
13	177	12483
14	180	11833
15	182	11239
16	185	10708
17	188	10261
18	191	9898
19	195	9561
20	198	9241
21	201	8960
22	205	8714
23	208	8470
24	211	8245
25	214	8031
26	218	7873
27	221	7706
28	224	7530
29	228	7372
30	231	7222
31	235	7114
32	238	6986
33	241	6854
34	243	6725
35	246	6605
36	250	6512
37	252	6403
38	255	6296
39	257	6190
40	259	6081
41	263	6006
42	266	5923
43	269	5863
44	272	5788
45	274	5696
46	276	5609
47	279	5535
48	281	5456
49	283	5381
50	285	5306
51	287	5240
52	289	5180
53	292	5131
54	295	5079
55	297	5018
56	300	4970
57	302	4914
58	304	4857
59	306	4805
60	309	4759
61	312	4725
62	314	4679
63	316	4629
64	318	4584
65	320	4539
66	323	4510
67	329	4509
68	331	4476
69	334	4444
70	337	4414
71	339	4377
72	342	4345
73	344	4309
74	346	4273
75	348	4241
76	351	4214
77	353	4181
78	355	4148
79	358	4120
80	360	4091
81	363	4072
82	366	4053
83	369	4028
84	371	3997
85	373	3970
86	375	3942
87	377	3914
88	379	3885
89	382	3867
90	385	3849
91	388	3830
92	391	3813
93	393	3794
94	396	3778
95	399	3758
96	401	3737
97	404	3721
98	407	3707
99	410	3692
100	413	3681
101	416	3668
102	419	3650
103	422	3636
104	425	3624
105	427	3607
106	430	3589
107	432	3574
108	435	3557
109	438	3544
110	441	3532
111	443	3516
112	446	3502
113	448	3486
114	451	3472
115	455	3471
116	458	3459
117	460	3445
118	463	3431
119	465	3414
120	469	3411
121	472	3400
122	475	3392
123	478	3381
124	480	3366
125	483	3356
126	486	3345
127	489	3335
128	492	3322
129	494	3306
130	496	3290
131	499	3283
132	502	3277
133	505	3264
134	507	3249
135	509	3235
136	511	3221
137	513	3208
138	516	3199
139	518	3185
140	520	3172
141	522	3158
142	524	3145
143	527	3133
144	529	3120
145	531	3109
146	533	3096
147	535	3084
148	537	3072
149	539	3059
150	541	3047
151	544	3035
152	546	3026
153	549	3019
154	551	3008
155	554	2999
156	556	2987
157	558	2977
158	560	2965
159	562	2955
160	565	2947
161	568	2939
162	570	2928
163	572	2918
164	574	2909
165	576	2898
166	579	2890
167	581	2880
168	583	2870
169	586	2864
170	589	2856
171	591	2846
172	593	2838
173	596	2832
174	598	2820
175	600	2809
176	602	2801
177	604	2791
178	606	2781
179	608	2773
180	611	2767
181	613	2757
182	615	2748
183	617	2740
184	619	2730
185	622	2722
186	624	2713
187	626	2706
188	628	2697
189	630	2689
190	633	2681
191	635	2673
192	637	2664
193	639	2655
194	641	2648
195	644	2643
196	646	2635
197	648	2627
198	651	2620
199	653	2612
200	655	2604
201	657	2597
202	659	2589
203	661	2582
204	663	2574
205	665	2566
206	667	2558
207	670	2551
208	672	2543
209	674	2536
210	678	2536
211	680	2529
212	682	2522
213	684	2515
214	686	2507
215	689	2502
216	692	2499
217	694	2492
218	696	2485
219	699	2478
220	700	2470
221	702	2463
222	707	2464
223	709	2457
224	711	2450
225	713	2444
226	715	2437
227	717	2430
228	719	2423
229	722	2418
230	725	2414
231	727	2407
232	729	2401
233	731	2395
234	733	2388
235	739	2393
236	742	2390
237	745	2386
238	747	2379
239	749	2373
240	752	2368
241	754	2362
242	756	2355
243	758	2349
244	760	2342
245	762	2336
246	764	2330
247	766	2324
248	768	2318
249	771	2313
250	773	2309
251	775	2303
252	777	2296
253	779	2290
254	782	2285
255	785	2281
256	787	2277
257	790	2272
258	792	2267
259	794	2261
260	796	2255
261	798	2249
262	801	2245
263	803	2240
264	805	2233
265	807	2227
266	809	2221
267	811	2217
268	813	2211
269	816	2206
270	818	2201
271	820	2196
272	822	2190
273	824	2184
274	826	2178
275	828	2173
276	830	2168
277	833	2163
278	835	2158
279	837	2152
280	839	2147
281	841	2142
282	843	2137
283	845	2131
284	847	2127
285	849	2121
286	852	2116
287	854	2111
288	856	2108
289	859	2104
290	861	2099
291	864	2095
292	866	2090
293	868	2084
294	870	2080
295	872	2076
296	875	2071
297	877	2066
298	879	2062
299	882	2059
300	885	2056
301	887	2052
302	889	2046
303	891	2042
304	893	2036
305	896	2032
306	898	2028
307	901	2024
308	903	2019
309	905	2015
310	907	2010
311	909	2006
312	912	2001
313	914	1998
314	917	1994
315	919	1990
316	921	1985
317	923	1980
318	925	1975
319	929	1974
320	931	1970
321	933	1966
322	936	1962
323	938	1958
324	940	1953
325	942	1949
326	945	1945
327	947	1941
328	949	1936
329	951	1932
330	954	1928
331	956	1924
332	959	1921
333	962	1918
334	964	1913
335	966	1909
336	968	1904
337	970	1900
338	972	1897
339	975	1893
340	978	1890
341	981	1887
342	983	1883
343	985	1878
344	987	1874
345	989	1870
346	992	1867
347	994	1863
348	996	1858
349	998	1854
350	1000	1850
351	1002	1845
352	1006	1844
353	1008	1841
354	1011	1837
355	1013	1833
356	1015	1829
357	1017	1824
358	1019	1820
359	1022	1818
360	1025	1814
361	1027	1810
362	1029	1806
363	1031	1802
364	1033	1798
365	1036	1794
366	1038	1791
367	1040	1786
368	1042	1782
369	1044	1778
370	1046	1774
371	1048	1770
372	1051	1766
373	1053	1763
374	1055	1759
375	1057	1755
376	1059	1751
377	1061	1746
378	1063	1742
379	1066	1739
380	1068	1736
381	1071	1733
382	1074	1730
383	1076	1727
384	1078	1723
385	1081	1719
386	1083	1715
387	1086	1713
388	1088	1709
389	1090	1705
390	1092	1701
391	1094	1697
392	1097	1694
393	1099	1690
394	1101	1687
395	1103	1683
396	1106	1680
397	1108	1676
398	1110	1672
399	1112	1668
400	1114	1664
401	1116	1661
402	1119	1658
403	1121	1655
404	1127	1655
405	1129	1652
406	1132	1650
407	1135	1647
408	1137	1643
409	1139	1639
410	1141	1636
411	1144	1633
412	1146	1629
413	1149	1626
414	1151	1623
415	1154	1620
416	1156	1617
417	1159	1614
418	1161	1610
419	1164	1608
420	1167	1605
421	1170	1603
422	1173	1600
423	1175	1597
424	1177	1593
425	1180	1590
426	1184	1589
427	1187	1586
428	1189	1583
429	1191	1579
430	1194	1576
431	1196	1573
432	1199	1570
433	1201	1566
434	1203	1563
435	1205	1559
436	1207	1556
437	1209	1552
438	1212	1549
439	1215	1547
440	1217	1543
441	1219	1540
442	1221	1536
443	1223	1532
444	1226	1529
445	1228	1525
446	1230	1522
447	1232	1518
448	1234	1514
449	1236	1511
450	1238	1508
451	1241	1504
452	1243	1502
453	1245	1498
454	1248	1495
455	1250	1491
456	1252	1488
457	1254	1484
458	1258	1482
459	1261	1480
460	1263	1477
461	1265	1473
462	1267	1470
463	1269	1466
464	1271	1463
465	1274	1460
466	1277	1457
467	1279	1454
468	1281	1451
469	1283	1447
470	1286	1444
471	1289	1442
472	1292	1440
473	1294	1437
474	1297	1433
475	1299	1430
476	1301	1426
477	1302	1422
478	1305	1419
479	1308	1417
480	1310	1413
481	1312	1410
482	1314	1407
483	1317	1404
484	1319	1400
485	1321	1397
486	1323	1394
487	1325	1391
488	1327	1387
489	1329	1384
490	1331	1380
491	1334	1377
492	1336	1374
493	1338	1371
494	1340	1367
495	1342	1364
496	1344	1361
497	1347	1358
498	1349	1354
499	1351	1351
500	1354	1348
501	1357	1346
502	1359	1342
503	1361	1339
504	1363	1336
505	1365	1333
506	1367	1329
507	1369	1326
508	1372	1323
509	1374	1320
510	1376	1317
511	1378	1314
512	1380	1310
513	1383	1307
514	1385	1304
515	1387	1301
516	1391	1299
517	1393	1296
518	1395	1293
519	1397	1289
520	1399	1286
521	1401	1283
522	1404	1281
523	1407	1278
524	1410	1275
525	1412	1273
526	1415	1270
527	1418	1267
528	1421	1265
529	1424	1262
530	1426	1260
531	1429	1257
532	1432	1255
533	1436	1253
534	1439	1251
535	1442	1249
536	1445	1246
537	1450	1245
538	1454	1244
539	1457	1241
540	1459	1238
541	1462	1235
542	1466	1234
543	1469	1231
544	1472	1229
545	1475	1226
546	1478	1224
547	1481	1222
548	1487	1221
549	1489	1218
550	1493	1216
551	1496	1214
552	1500	1213
553	1503	1210
554	1505	1207
555	1510	1205
556	1513	1204
557	1516	1201
558	1519	1198
559	1522	1195
560	1524	1193
561	1527	1190
562	1530	1187
563	1532	1184
564	1534	1181
565	1537	1178
566	1540	1176
567	1544	1174
568	1547	1172
569	1549	1168
570	1551	1165
571	1553	1162
572	1556	1159
573	1558	1156
574	1561	1154
575	1563	1150
576	1565	1147
577	1567	1144
578	1569	1141
579	1572	1138
580	1574	1135
581	1576	1132
582	1578	1129
583	1581	1126
584	1583	1123
585	1585	1120
586	1587	1117
587	1589	1113
588	1592	1111
589	1594	1108
590	1598	1106
591	1600	1103
592	1602	1100
593	1604	1096
594	1607	1093
595	1609	1090
596	1611	1087
597	1613	1084
598	1615	1081
599	1617	1078
600	1619	1075
601	1621	1072
602	1625	1070
603	1627	1067
604	1630	1064
605	1632	1061
606	1635	1058
607	1637	1055
608	1643	1055
609	1645	1052
610	1649	1049
611	1651	1047
612	1654	1044
613	1658	1042
614	1661	1039
615	1663	1036
616	1665	1034
617	1668	1031
618	1672	1029
619	1674	1026
620	1677	1023
621	1679	1020
622	1681	1017
623	1683	1014
624	1687	1012
625	1691	1010
626	1694	1008
627	1697	1005
628	1699	1002
629	1702	999
630	1705	997
631	1707	994
632	1710	991
633	1713	989
634	1716	986
635	1720	984
636	1722	981
637	1725	978
638	1727	976
639	1730	973
640	1732	970
641	1735	967
642	1738	965
643	1740	962
644	1742	959
645	1744	955
646	1746	952
647	1749	950
648	1752	947
649	1754	944
650	1756	941
651	1758	938
652	1761	936
653	1764	933
654	1767	931
655	1770	928
656	1772	925
657	1774	922
658	1776	919
659	1778	916
660	1781	913
661	1785	911
662	1788	908
663	1791	906
664	1793	903
665	1796	900
666	1798	898
667	1801	895
668	1803	892
669	1805	889
670	1808	886
671	1811	883
672	1813	881
673	1816	878
674	1819	876
675	1821	873
676	1824	870
677	1827	867
678	1830	865
679	1833	862
680	1835	859
681	1838	857
682	1840	854
683	1842	851
684	1846	849
685	1849	846
686	1851	843
687	1854	841
688	1857	838
689	1860	835
690	1863	833
691	1866	830
692	1868	827
693	1871	825
694	1874	822
695	1878	820
696	1882	818
697	1885	815
698	1887	812
699	1890	810
700	1896	808
701	1900	806
702	1903	804
703	1906	801
704	1910	799
705	1912	796
706	1915	793
707	1917	790
708	1919	787
709	1924	786
710	1928	783
711	1930	781
712	1933	778
713	1935	775
714	1939	773
715	1942	770
716	1945	767
717	1948	765
718	1951	762
719	1954	760
720	1957	757
721	1959	754
722	1961	751
723	1964	748
724	1968	746
725	1971	744
726	1975	741
727	1977	738
728	1980	736
729	1983	733
730	1986	730
731	1989	728
732	1992	725
733	1995	723
734	1998	720
735	2001	717
736	2004	715
737	2006	712
738	2009	709
739	2011	706
740	2014	703
741	2017	701
742	2020	698
743	2022	695
744	2026	693
745	2029	690
746	2032	688
747	2035	685
748	2037	682
749	2040	680
750	2042	677
751	2045	674
752	2047	671
753	2050	669
754	2053	666
755	2055	663
756	2058	660
757	2060	657
758	2063	655
759	2067	652
760	2071	650
761	2074	647
762	2077	645
763	2080	642
764	2085	640
765	2089	638
766	2092	635
767	2095	633
768	2099	630
769	2102	628
770	2105	625
771	2108	622
772	2112	620
773	2116	617
774	2119	615
775	2122	612
776	2125	610
777	2130	608
778	2133	605
779	2136	602
780	2138	599
781	2140	596
782	2144	594
783	2146	591
784	2149	588
785	2152	585
786	2154	583
787	2157	580
788	2161	578
789	2163	575
790	2166	572
791	2168	569
792	2171	566
793	2175	564
794	2178	561
795	2181	559
796	2184	556
797	2187	553
798	2190	551
799	2193	548
800	2195	545
801	2198	542
802	2202	540
803	2205	537
804	2208	534
805	2210	532
806	2212	529
807	2216	526
808	2218	523
809	2220	520
810	2224	518
811	2226	515
812	2228	512
813	2231	509
814	2234	507
815	2236	504
816	2239	501
817	2241	498
818	2245	496
819	2248	493
820	2250	490
821	2253	488
